Week,bitcoin
2016-11-06,3
2016-11-13,3
2016-11-20,3
2016-11-27,3
2016-12-04,3
2016-12-11,3
2016-12-18,4
2016-12-25,5
2017-01-01,7
2017-01-08,6
2017-01-15,4
2017-01-22,4
2017-01-29,4
2017-02-05,5
2017-02-12,4
2017-02-19,5
2017-02-26,6
2017-03-05,7
2017-03-12,6
2017-03-19,6
2017-03-26,5
2017-04-02,5
2017-04-09,5
2017-04-16,5
2017-04-23,5
2017-04-30,7
2017-05-07,9
2017-05-14,11
2017-05-21,19
2017-05-28,13
2017-06-04,12
2017-06-11,13
2017-06-18,11
2017-06-25,11
2017-07-02,9
2017-07-09,10
2017-07-16,12
2017-07-23,11
2017-07-30,15
2017-08-06,15
2017-08-13,20
2017-08-20,16
2017-08-27,17
2017-09-03,18
2017-09-10,21
2017-09-17,16
2017-09-24,13
2017-10-01,13
2017-10-08,19
2017-10-15,20
2017-10-22,21
2017-10-29,28
2017-11-05,29
2017-11-12,31
2017-11-19,28
2017-11-26,65
2017-12-03,93
2017-12-10,86
2017-12-17,100
2017-12-24,63
2017-12-31,48
2018-01-07,46
2018-01-14,57
2018-01-21,38
2018-01-28,40
2018-02-04,48
2018-02-11,28
2018-02-18,24
2018-02-25,19
2018-03-04,19
2018-03-11,19
2018-03-18,18
2018-03-25,18
2018-04-01,17
2018-04-08,15
